name,title,genre,ratings
Big tee,The Avengers ,Action;Fantasy;Adventure,5
Big tee,Sinners,Horror;Action;Thriller,5
Big tee,The conguring ,Horror;Thriller,4
Big tee,The dicator ,Comedy;Drama,5
Big tee,Wrath of titans,Action;Fantasy;Adventure,5
Kernie ,The Hangover ,Comedy ,4
Kernie ,Avengers,Action;Fantasy ,3
Kernie ,The batman,Action;Thriller ,4
Kernie ,The fault in our stars,Drama,5
Kernie ,John wick,Action;Thriller ,5
Mama,Acrimony ,Drama;Thriller,4
Mama,Hangover ,Comedy ,5
Mama,Transformers,Action;Thriller ,4
Mama,Mine craft,Comedy;Fantasy ,5
Castro,Sicario,Action,5
Castro,John wick,Action;Thriller ,5
Castro ,Colombiana,Action;Thriller ,5
Castro,The Wrath of man,Action;Thriller ,5
Castro,Sword of a stranger ,Action,5
